6	10	220.0	0	220.0	0	0	1	
6	10	36.6666666667	29	220.0	177	177	2	
6	10	79.1666666667	29	475.0	177	5136	0	
6	50	22100.0	0	22100.0	0	0	1	
6	50	3683.33333333	3039	22100.0	18234	18234	2	
6	50	4395.83333333	3039	26375.0	18234	527902	0	
6	100	171700.0	0	171700.0	0	0	1	
6	100	28616.6666667	23712	171700.0	142272	142272	2	
6	100	31291.6666667	23712	187750.0	142272	4284537	0	
6	200	1353400.0	0	1353400.0	0	0	1	
6	200	225566.666667	187434	1353400.0	1124609	1124609	2	
6	200	235916.666667	187434	1415500.0	1124609	34788487	0	
6	300	4545100.0	0	4545100.0	0	0	1	
6	300	757516.666667	630041	4545100.0	3780250	3780250	2	
6	300	780541.666667	630041	4683250.0	3780250	118832711	0	
6	400	10746800.0	0	10746800.0	0	0	1	
6	400	1791133.33333	1490403	10746800.0	8942422	8942422	2	
6	400	1831833.33333	1490403	10991000.0	8942422	284276387	0	
6	500	20958500.0	0	20958500.0	0	0	1	
6	500	3493083.33333	2907476	20958500.0	17444859	17444859	2	
6	500	3556458.33333	2907476	21338750.0	17444859	557631137	0	
